Country name	Adjectivals	Demonyms
Kuwait	Kuwaiti	Kuwaitis
Kyrgyzstan	Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz	Kyrgyzstanis, Kyrgyz, Kirgiz, Kirghiz
Laos	Laotian, Lao	Laotians, Laos
Latvia	Latvian	Latvians, Letts
Lebanon	Lebanese	Lebanese
Lesotho	Basotho	Basotho
Liberia	Liberian	Liberians
Libya	Libyan	Libyans
Liechtenstein	Liechtenstein	Liechtensteiners
Lithuania	Lithuanian	Lithuanians
Luxembourg	Luxembourg, Luxembourgish	Luxembourgers
Macau	Macanese, Chinese	Macanese, Chinese
Madagascar	Malagasy	Malagasy
Malawi	Malawian	Malawians
Malaysia	Malaysian	Malaysians
Maldives	Maldivian	Maldivians
Mali	Malian	Malians
Malta	Maltese	Maltese
Marshall Islands	Marshallese	Marshallese
Martinique	Martiniquais, Martinican	Martiniquais
Mauritania	Mauritanian	Mauritanians
Mauritius	Mauritian	Mauritians
Mayotte	Mahoran	Mahorais
Mexico	Mexican	Mexicans
Micronesia, Federated States of	Micronesian	Micronesians
Moldova	Moldovan	Moldovans
Monaco	Monégasque, Monacan	Monégasques, Monacans
Mongolia	Mongolian	Mongolians, Mongols
Montenegro	Montenegrin	Montenegrins
Montserrat	Montserratian	Montserratians
Morocco	Moroccan	Moroccans
Mozambique	Mozambican	Mozambicans
Namibia	Namibian	Namibians
Nauru	Nauruan	Nauruans
Nepal	Nepalese, Nepali	Nepalese, Nepali
Netherlands	Dutch	Dutch
New Caledonia	New Caledonian	New Caledonians
New Zealand	New Zealand	New Zealanders	"Kiwis"
Nicaragua	Nicaraguan	Nicaraguans
Niger	Nigerien	Nigeriens
Nigeria	Nigerian	Nigerians
Niue	Niuean	Niueans
North Korea	North Korean	Koreans
Northern Ireland	Northern Irish / British / Irish	British / Irish / Northern Irish
Northern Marianas	Northern Marianan	Northern Marianans
Norway	Norwegian	Norwegians
Oman	Omani	Omanis
Pakistan	Pakistani	Pakistanis
Palau	Palauan	Palauans
Palestine	Palestinian	Palestinians
Panama	Panamanian	Panamanians
Papua New Guinea	Papua New Guinean, Papuan	Papua New Guineans, Papuans
Paraguay	Paraguayan	Paraguayans
People's Republic of China	Chinese	Chinese
Peru	Peruvian	Peruvians
Philippines	Philippine, Filipino	Filipinos, Filipinas	Pinoys
Pitcairn Island	Pitcairn Island	Pitcairn Islanders
Poland	Polish	Poles
Portugal	Portuguese	Portuguese
Puerto Rico	Puerto Rican	Puerto Ricans, Boricuas
Qatar	Qatari	Qataris
Republic of China	See Taiwan, below
Republic of Ireland	Irish / Southern Irish h	Irish / Southern Irish h
Republic of Macedonia	Macedonian	Macedonians
Republic of the Congo	Congolese, Congo[citation needed]	Congolese
Romania	Romanian	Romanians
Russia	Russian	Russians
Rwanda	Rwandan	Rwandans
Réunion	Réunionese, Réunionnais	Réunionese, Réunionnais
Saint-Pierre and Miquelon	Saint-Pierrais, Miquelonnais	Saint-Pierrais, Miquelonnais
Samoa	Samoan	Samoans
San Marino	Sammarinese	Sammarinese
Saudi Arabia	Saudi, Saudi Arabian	Saudis, Saudi Arabians
Scotland	Scots, Scottish, Scotchi	Scots, Scotsmen
Senegal	Senegalese	Senegalese
Serbia	Serbian	Serbians, Serbs
Seychelles	Seychellois	Seychellois
Sierra Leone	Sierra Leonean	Sierra Leoneans
Singapore	Singaporean[2] [3]	Singaporeans[4] [5]
Slovakia	Slovak	Slovaks
Slovenia	Slovenian, Slovene	Slovenians, Slovenes
Solomon Islands	Solomon Island	Solomon Islanders
Somalia	Somali; Somalian	Somalis; Somalians
South Africa	South African	South Africans
South Korea	South Korean	Koreans
South Ossetia	South Ossetian	South Ossetians
South Sudan	South Sudanese	South Sudanese
Spain	Spanish	Spaniards
Sri Lanka	Sri Lankan	Sri Lankans
St. Helena	St. Helenian	St. Helenians
St. Kitts and Nevis	Kittitian, Nevisian	Kittitians, Nevisians
St. Lucia	St. Lucian	St. Lucians
St. Vincent and the Grenadines	St. Vincentian, Vincentian	St. Vincentians, Vincentians
Sudan	Sudanese	Sudanese
Surinam	Surinamese	Surinamers
Swaziland	Swazi	Swazis
Sweden	Swedish	Swedes
Switzerland	Swiss	Swiss
Syria	Syrian	Syrians
São Tomé and Príncipe	São Toméan	São Toméans
Taiwan	Taiwanese	Taiwanese
Tajikistan	Tajikistani	Tajikistanis, Tajiks
Tanzania	Tanzanian	Tanzanians
Thailand	Thai	Thai
Togo	Togolese	Togolese
Tonga	Tongan	Tongans
Trinidad and Tobago	Trinidadian, Tobagonian	Trinidadians, Tobagonians	"Trinis", "Trinibagonians"
Tunisia	Tunisian	Tunisians
Turkey	Turkish	Turks
Turkmenistan	Turkmen	Turkmens
Turks and Caicos Islands	none	Turks and Caicos Islanders
Tuvalu	Tuvaluan	Tuvaluans
Uganda	Ugandan	Ugandans
Ukraine	Ukrainian	Ukrainians
United Arab Emirates	Emirati, Emirian	Emiratis, Emirians
United Kingdom	British	Britons	see Other words for "British"
United States	American, U.S.	Americans
Uruguay	Uruguayan	Uruguayans
Uzbekistan	Uzbekistani, Uzbek	Uzbekistanis, Uzbeks
Vanuatu	Ni-Vanuatu, Vanuatuan	Ni-Vanuatu
Venezuela	Venezuelan	Venezuelans
Vietnam	Vietnamese	Vietnamese
Virgin Islands	Virgin Island	Virgin Islanders
Wales	Welsh	Welsh
Wallis and Futuna	Wallisian, Futunan	Wallisians, Futunans
Western Sahara	Sahraw, Sahrawian, Sahraouian	Sahrawis, Sahraouis
Yemen	Yemeni	Yemenis
Zambia	Zambian	Zambians
Zimbabwe	Zimbabwean	Zimbabweans
